,iso2,year,new_sp_f4554
871,CA,1980,31.0
872,CA,1981,28.0
873,CA,1982,25.0
874,CA,1983,24.0
875,CA,1984,28.0
876,CA,1985,28.0
877,CA,1986,20.0
878,CA,1987,17.0
879,CA,1988,16.0
880,CA,1989,24.0
881,CA,1990,17.0
882,CA,1991,9.0
883,CA,1992,11.0
884,CA,1993,21.0
885,CA,1994,11.0
886,CA,1995,12.0
887,CA,1996,14.0
888,CA,1997,13.0
889,CA,1998,14.0
890,CA,1999,13.0
891,CA,2000,25.0
892,CA,2001,16.0
893,CA,2002,17.0
894,CA,2003,15.0
895,CA,2004,19.0
896,CA,2005,24.0
897,CA,2006,16.0
898,CA,2007,11.0
899,CA,2008,27.0
