,iso2,year,new_sp_m5564
871,CA,1980,108.0
872,CA,1981,103.0
873,CA,1982,91.0
874,CA,1983,92.0
875,CA,1984,83.0
876,CA,1985,81.0
877,CA,1986,73.0
878,CA,1987,64.0
879,CA,1988,68.0
880,CA,1989,62.0
881,CA,1990,42.0
882,CA,1991,36.0
883,CA,1992,51.0
884,CA,1993,33.0
885,CA,1994,34.0
886,CA,1995,41.0
887,CA,1996,34.0
888,CA,1997,44.0
889,CA,1998,26.0
890,CA,1999,33.0
891,CA,2000,32.0
892,CA,2001,22.0
893,CA,2002,27.0
894,CA,2003,21.0
895,CA,2004,31.0
896,CA,2005,20.0
897,CA,2006,26.0
898,CA,2007,35.0
899,CA,2008,38.0
