,iso2,year,new_sp_f5564
871,CA,1980,33.0
872,CA,1981,35.0
873,CA,1982,38.0
874,CA,1983,35.0
875,CA,1984,36.0
876,CA,1985,48.0
877,CA,1986,26.0
878,CA,1987,26.0
879,CA,1988,26.0
880,CA,1989,21.0
881,CA,1990,20.0
882,CA,1991,20.0
883,CA,1992,15.0
884,CA,1993,21.0
885,CA,1994,13.0
886,CA,1995,18.0
887,CA,1996,16.0
888,CA,1997,16.0
889,CA,1998,18.0
890,CA,1999,11.0
891,CA,2000,12.0
892,CA,2001,14.0
893,CA,2002,17.0
894,CA,2003,9.0
895,CA,2004,22.0
896,CA,2005,13.0
897,CA,2006,6.0
898,CA,2007,13.0
899,CA,2008,20.0
