,iso2,year,new_sp_f3544
871,CA,1980,34.0
872,CA,1981,26.0
873,CA,1982,30.0
874,CA,1983,29.0
875,CA,1984,28.0
876,CA,1985,19.0
877,CA,1986,33.0
878,CA,1987,29.0
879,CA,1988,27.0
880,CA,1989,23.0
881,CA,1990,26.0
882,CA,1991,31.0
883,CA,1992,21.0
884,CA,1993,22.0
885,CA,1994,19.0
886,CA,1995,22.0
887,CA,1996,28.0
888,CA,1997,26.0
889,CA,1998,26.0
890,CA,1999,28.0
891,CA,2000,30.0
892,CA,2001,33.0
893,CA,2002,26.0
894,CA,2003,25.0
895,CA,2004,34.0
896,CA,2005,27.0
897,CA,2006,25.0
898,CA,2007,33.0
899,CA,2008,39.0
