,iso2,year,new_sp_m4554
871,CA,1980,100.0
872,CA,1981,87.0
873,CA,1982,90.0
874,CA,1983,90.0
875,CA,1984,68.0
876,CA,1985,77.0
877,CA,1986,59.0
878,CA,1987,49.0
879,CA,1988,52.0
880,CA,1989,54.0
881,CA,1990,40.0
882,CA,1991,37.0
883,CA,1992,41.0
884,CA,1993,43.0
885,CA,1994,43.0
886,CA,1995,34.0
887,CA,1996,31.0
888,CA,1997,30.0
889,CA,1998,31.0
890,CA,1999,36.0
891,CA,2000,41.0
892,CA,2001,40.0
893,CA,2002,34.0
894,CA,2003,32.0
895,CA,2004,32.0
896,CA,2005,40.0
897,CA,2006,42.0
898,CA,2007,50.0
899,CA,2008,53.0
