,iso2,year,new_sp_m3544
871,CA,1980,83.0
872,CA,1981,64.0
873,CA,1982,69.0
874,CA,1983,62.0
875,CA,1984,58.0
876,CA,1985,59.0
877,CA,1986,62.0
878,CA,1987,60.0
879,CA,1988,62.0
880,CA,1989,60.0
881,CA,1990,55.0
882,CA,1991,53.0
883,CA,1992,58.0
884,CA,1993,53.0
885,CA,1994,42.0
886,CA,1995,60.0
887,CA,1996,48.0
888,CA,1997,44.0
889,CA,1998,51.0
890,CA,1999,51.0
891,CA,2000,46.0
892,CA,2001,56.0
893,CA,2002,50.0
894,CA,2003,37.0
895,CA,2004,38.0
896,CA,2005,44.0
897,CA,2006,33.0
898,CA,2007,51.0
899,CA,2008,49.0
