,iso2,year,new_sp_f1524
871,CA,1980,62.0
872,CA,1981,46.0
873,CA,1982,51.0
874,CA,1983,50.0
875,CA,1984,51.0
876,CA,1985,30.0
877,CA,1986,33.0
878,CA,1987,39.0
879,CA,1988,38.0
880,CA,1989,37.0
881,CA,1990,30.0
882,CA,1991,23.0
883,CA,1992,27.0
884,CA,1993,22.0
885,CA,1994,37.0
886,CA,1995,33.0
887,CA,1996,23.0
888,CA,1997,36.0
889,CA,1998,26.0
890,CA,1999,33.0
891,CA,2000,33.0
892,CA,2001,23.0
893,CA,2002,32.0
894,CA,2003,21.0
895,CA,2004,34.0
896,CA,2005,28.0
897,CA,2006,39.0
898,CA,2007,32.0
899,CA,2008,36.0
