,iso2,year,new_sp_m2534
871,CA,1980,75.0
872,CA,1981,61.0
873,CA,1982,66.0
874,CA,1983,63.0
875,CA,1984,75.0
876,CA,1985,70.0
877,CA,1986,73.0
878,CA,1987,71.0
879,CA,1988,73.0
880,CA,1989,56.0
881,CA,1990,70.0
882,CA,1991,79.0
883,CA,1992,47.0
884,CA,1993,47.0
885,CA,1994,54.0
886,CA,1995,31.0
887,CA,1996,49.0
888,CA,1997,55.0
889,CA,1998,43.0
890,CA,1999,47.0
891,CA,2000,45.0
892,CA,2001,49.0
893,CA,2002,34.0
894,CA,2003,36.0
895,CA,2004,34.0
896,CA,2005,45.0
897,CA,2006,34.0
898,CA,2007,41.0
899,CA,2008,36.0
